#{"t_start": 1716055313.5137303, "env_id": "binance-v0-1d"}
r,l,t
-61335.08,529,1.930989
-68771.28,529,3.849176
-68738.56,529,5.783314
-65804.58,529,7.727241
-72143.93,529,9.668907
-68933.34,529,11.635024
-69018.22,529,13.62828
-70106.26,529,15.610028
-67788.43,529,17.602885
-69463.99,529,19.550154
-66929.07,529,21.522576
-64225.53,529,23.481025
-69657.02,529,25.46592
-63190.18,529,27.455813
-62433.13,529,29.432447
-61356.23,529,31.41907
-62012.46,529,33.392153
-65624.07,529,35.349543
-66365.39,529,37.332981
-62328.05,529,39.257546
-65692.35,529,41.196403
-66780.19,529,43.12004
-60385.83,529,45.082909
-63791.2,529,47.057931
-63695.64,529,49.131529
-64885.18,529,51.154494
-57838.38,529,53.153394
-69988.54,529,55.126747
-67479.66,529,57.080362
-70143.21,529,59.036458
-66293.29,529,61.016703
-65145.41,529,63.001019
-68195.8,529,64.946629
-66208.14,529,66.901682
-68001.21,529,68.86656
-67719.69,529,70.803962
-59216.12,529,72.732327
-68820.92,529,74.751815
-65873.72,529,76.679991.14,128341,15050.584424
80328.6,128341,15517.767676
80384.21,128341,15973.871719
63099.85,128341,16427.588616
63077.31,128341,16881.080496
20249
-60455.32,529,90.607147
-62741.24,529,92.604178
-65878.34,529,94.552508
-67543.18,529,96.484198
-61774.09,529,98.421273
-61137.45,529,100.355671
-65021.3,529,102.292743
-62132.1,529,104.214992
-67154.48,529,106.151649
-66223.54,529,108.084312
-57820.53,529,110.01846
-53019.35,529,111.949853
-55989.08,529,113.877914
-62084.11,529,115.805227
-61261.63,529,117.750974
-61315.89,529,119.688961
-54506.47,529,121.634974
-59783.32,529,123.582654
-58997.9,529,125.528011
-61691.39,529,127.462474
-60452.86,529,129.418783
-53615.92,529,131.366573
-60671.39,529,133.293657
-63023.69,529,135.239617
-55330.27,529,137.181581
-59578.81,529,139.26052
-54435.43,529,141.319333
-57637.35,529,143.303126
-59395.72,529,145.249027
-57322.74,529,147.220747
-56487.02,529,149.180973
-60874.69,529,151.120622
-56536.67,529,153.049434
-56152.28,529,155.018355
-61238.02,529,157.086867
-59726.07,529,159.100611
-58156.45,529,161.143956
-63456.64,529,163.112752
-57976.41,529,165.132686
-59796.17,529,167.143118
-52866.0,529,169.22588
-59429.78,529,171.318879
-57933.51,529,173.373083
-53371.4,529,175.421115
-57234.57,529,177.390667
-55003.58,529,179.342919
-57214.57,529,181.294385
-63049.15,529,183.268672
-64379.81,529,185.328645
-57076.96,529,187.322763
-57626.52,529,189.293229
-56364.01,529,191.237716
-61605.86,529,193.271692
-60830.0,529,195.304386
-63572.63,529,197.31017
-57458.32,529,199.372308
-61326.36,529,201.470391
-60295.98,529,203.581443
-55606.31,529,205.690252
-56674.55,529,207.806874
-55936.03,529,209.959946
-60637.22,529,212.077151
-54178.85,529,214.199812
-58695.14,529,216.317312
-56348.87,529,218.433322
-54804.54,529,220.56048
-58588.6,529,222.686609
-54180.51,529,224.792619
-54361.87,529,226.926386
-54474.57,529,229.048872
-54885.64,529,231.163923
-65583.85,529,233.296514
-54985.23,529,235.414737
-57681.71,529,237.55187
-54570.38,529,239.662717
-58375.84,529,241.7628
-62286.7,529,243.90047
-58292.94,529,246.012302
-55623.66,529,248.116919
-58099.8,529,250.232404
-57966.77,529,252.348732
-60312.09,529,254.469698
-56761.65,529,256.572209
-57085.92,529,258.685365
-59845.2,529,260.792289
-62709.1,529,262.923794
-61526.05,529,265.025788
-60857.88,529,267.13907
-56716.06,529,269.240844
-61677.3,529,271.348008
-63278.03,529,273.469439
-63207.74,529,275.581239
-62214.74,529,277.704065
-57091.03,529,279.839581
-55515.33,529,281.960031
-58367.47,529,284.06313
-63379.73,529,286.165314
-59999.52,529,288.275809
-62622.73,529,290.38963
-64597.32,529,292.480822
-60403.0,529,294.587065
-61700.22,529,296.683864
-62167.42,529,298.785299
-59931.57,529,300.897055
-58921.05,529,303.002846
-54061.83,529,305.105241
-58581.63,529,307.225433
-60420.8,529,309.332152
-63933.44,529,311.450541
-60497.6,529,313.548609
-58991.33,529,315.651937
-58912.49,529,317.737273
-55956.75,529,319.85277
-56444.58,529,321.949846
-55789.89,529,324.051201
-55787.45,529,326.182729
-59656.18,529,328.291107
-62572.66,529,330.41294
-58412.8,529,332.528094
-60669.34,529,334.652259
-66135.07,529,336.751828
-60194.8,529,338.883827
-58798.44,529,340.988927
-65817.41,529,343.095557
-60531.59,529,345.191809
-62172.78,529,347.302824
-64407.55,529,349.421406
-59419.07,529,351.53679
-67079.28,529,353.636867
-67258.56,529,355.74612
-66769.68,529,357.87394
-63511.4,529,359.97709
-58716.81,529,362.093915
-64785.03,529,364.222661
-60194.71,529,366.32615
-60856.33,529,368.422179
-61594.51,529,370.545061
-66018.24,529,372.635776
-61578.95,529,374.743072
-65356.06,529,376.83531
-63615.67,529,378.94985
-61747.32,529,381.052825
-60226.54,529,383.152887
-61390.37,529,385.273047
-58616.79,529,387.385756
-61761.38,529,389.480459
-61532.85,529,391.584937
-58988.7,529,393.694775
-59502.14,529,395.806369
-61930.4,529,397.915704
-63932.93,529,400.027014
-58930.86,529,402.141678
-61397.36,529,404.247673
-61219.34,529,406.378081
-59861.94,529,408.460277
-60216.09,529,410.561165
-62694.47,529,412.67591
-61478.55,529,414.778966
-58111.6,529,416.900718
-60769.58,529,418.997926
-59749.87,529,421.107998
-59931.2,529,423.196945
-65874.43,529,425.314133
-60628.05,529,427.421127
-61957.15,529,429.517955
-64879.5,529,431.654822
-62001.87,529,433.776222
-64976.05,529,435.901361
-63251.13,529,438.001158
-65890.73,529,440.09971
-60823.99,529,442.208767
-61663.66,529,444.306141
-64569.42,529,446.398386
-62356.24,529,448.473763
-64083.36,529,450.564747
-58545.77,529,452.658108
-57811.93,529,454.754982
-57364.96,529,456.867165
-61922.1,529,458.969601
-53767.58,529,461.057844
-50925.08,529,463.15686
-58252.02,529,465.243318
-67194.41,529,467.356829
-63922.3,529,469.444269
-51983.02,529,471.538255
-61311.93,529,473.612929
-57147.13,529,475.704021
-57918.56,529,477.813907
-59797.09,529,479.928925
-61012.06,529,482.034521
-61459.98,529,484.131603
-64379.34,529,486.229967
-56318.48,529,488.317905
-59479.03,529,490.417418
-56743.07,529,492.528827
-55258.62,529,494.643242
-50832.44,529,496.722146
-61865.71,529,498.815094
-58526.13,529,500.912729
-56527.21,529,503.018961
-56890.89,529,505.111627
-54108.48,529,507.215245
-64890.11,529,509.304244
-59043.81,529,511.39863
-58532.51,529,513.499425
-62558.45,529,515.601058
-61113.36,529,517.701143
-61136.83,529,519.809413
-62805.69,529,521.927746
-64864.52,529,524.022625
-59491.35,529,526.110767
-68956.89,529,528.234666
-68547.46,529,530.3404
-53238.55,529,532.450201
-54882.23,529,534.542248
-62404.68,529,536.642095
-63793.77,529,538.742194
-58844.13,529,540.831752
-62749.86,529,542.961596
-65159.57,529,545.048082
-64835.4,529,547.143767
-65827.2,529,549.23297
-64438.44,529,551.325872
-61980.36,529,553.428361
-64773.09,529,555.524574
-64072.71,529,557.624663
-62560.22,529,559.71314
-59718.17,529,561.807252
-64737.28,529,563.932012
-63590.15,529,566.018912
-61602.87,529,568.122188
-58560.21,529,570.210425
-64261.63,529,572.317616
-60441.56,529,574.414618
-65431.17,529,576.49333
-56493.53,529,578.598818
-63032.73,529,580.701965
-56410.67,529,582.801987
-62054.36,529,584.893401
-55292.55,529,586.985112
-63528.28,529,589.089934
-55453.07,529,591.188555
-66813.97,529,593.290347
-63366.42,529,595.369204
-62641.38,529,597.467422
-60239.74,529,599.552296
-60456.21,529,601.64623
-56404.45,529,603.765458
-53990.31,529,605.87606
-59424.17,529,607.974715
-57598.09,529,610.062475
-56575.77,529,612.158374
-55543.51,529,614.254614
-58557.14,529,616.36437
-58322.75,529,618.455838
-51625.91,529,620.538766
-56365.42,529,622.630975
-52547.98,529,624.744558
-54087.92,529,626.854781
-49303.52,529,628.935234
-55083.09,529,631.037241
-50088.89,529,633.131236
-49566.69,529,635.240292
-51864.54,529,637.330959
-52977.52,529,639.432632
-46346.58,529,641.515699
-47679.95,529,643.635878
-41118.53,529,645.723199
-49783.55,529,647.830991
-55768.84,529,649.925853
-52843.26,529,652.036927
-56013.23,529,654.144691
-51277.31,529,656.257241
-48892.6,529,658.353599
-49019.46,529,660.451458
-42840.65,529,662.553597
-52766.99,529,664.655256
-52252.85,529,666.756361
-48272.5,529,668.861044
-53517.42,529,670.938736
-49562.93,529,673.011115
-54291.86,529,675.127111
-58705.06,529,677.215426
-55188.39,529,679.309904
-55948.51,529,681.402169
-58380.69,529,683.510274
-48615.82,529,685.602697
-55046.1,529,687.72002
-45327.82,529,689.803972
-62265.64,529,691.894285
-48988.71,529,693.990347
-58359.99,529,696.090956
-49701.86,529,698.164097
-50226.2,529,700.259331
-54979.57,529,702.345769
-52776.66,529,704.449251
-45963.7,529,706.535296
-47115.8,529,708.625101
-47534.97,529,710.712202
-44317.03,529,712.803818
-42639.36,529,714.926195
-45412.67,529,717.155675
-49304.87,529,719.28072
-47474.61,529,721.390655
-44856.98,529,723.485783
-44701.18,529,725.621356
-50418.51,529,727.745736
-45593.23,529,729.859624
-49295.69,529,731.980569
-48701.4,529,734.093246
-44890.4,529,736.212487
-50333.06,529,738.321015
-49548.75,529,740.439466
-45645.59,529,742.551603
-47960.73,529,744.655584
-47476.4,529,746.773796
-48097.03,529,748.885296
-47302.34,529,751.001626
-44764.8,529,753.112742
-50640.08,529,755.278212
-45706.16,529,757.383316
-48228.12,529,759.501839
-48022.88,529,761.615155
-52296.3,529,763.734648
-48089.85,529,765.85049
-43659.92,529,767.958335
-51044.84,529,770.064805
-52693.58,529,772.190619
-51480.6,529,774.310057
-45784.43,529,776.431785
-51225.34,529,778.554244
-50923.65,529,780.675121
-46959.49,529,782.777653
-44659.03,529,784.924516
