#{"t_start": 1715861613.3965137, "env_id": "binance-v0-1d"}
r,l,t
-80512.37,467,1.054001
-80115.6,474,2.113001
-81011.96,467,3.167001
-80801.28,467,4.233999
-80223.8,455,7.74403
-80343.6,447,8.746027
-80072.02,453,9.762027
-80197.37,466,10.827027
-74347.49,520,14.450029
-81754.06,455,15.46703
-74314.26,520,16.653028
-66029.38,520,17.861029
-81291.88,467,21.35103
-80170.71,457,22.374027
-80364.45,429,23.342031
-75128.28,520,24.539029
-80451.62,466,25.596027
-73737.34,520,29.218027
-80365.12,453,30.240027
-81803.98,450,31.275027
-81739.66,467,32.337698
-68965.35,520,35.935698
-76628.04,520,37.126698
-80178.15,466,38.205187
-80571.59,455,39.239356
-80600.25,468,42.729472
-66401.17,520,43.907474
-80930.6,450,44.943671
-81467.6,451,45.967095
-81805.03,467,47.029095
-80037.23,467,50.547258
-80138.48,471,51.626509
-81199.25,451,52.666527
-80214.6,451,53.684528
-80222.8,377,56.945529
-77202.62,520,58.134527
-80070.96,472,59.215741
-73120.35,520,60.388761
-80199.38,447,63.821836
-80065.86,474,64.914121
-80472.99,467,65.98212
-81328.43,445,66.99512
-80466.81,451,68.00512
-69295.56,520,71.61712
-75305.48,520,72.813121
-80019.18,455,74.295397
-81528.0,455,75.314396
-80049.33,469,78.825397
-76938.58,520,80.021751
-80688.12,467,81.077261
-80307.84,381,81.927262
-72676.54,520,85.513397
-80401.68,447,86.536397
-81087.03,450,87.573842
-81044.34,467,88.621842
-80755.85,467,89.677843
-80043.57,476,93.183185
-62811.95,520,94.36754
-80137.22,455,95.39054
-80258.27,467,96.438046
-80045.26,471,99.923046
-80034.09,468,100.993047
-80108.48,466,102.036047
-75281.95,520,103.203046
-78250.03,520,106.800317
-80059.96,468,107.880317
-80206.28,466,108.948318
-81513.67,445,109.946384
-81245.33,455,110.966385
-76189.82,520,114.562384
-79559.33,520,115.730385
-80962.66,450,116.746387
-81098.45,451,117.772385
-81244.71,467,121.264412
-80457.11,457,122.293409
-81105.03,451,123.306414
-80042.65,474,124.371412
-80383.48,467,125.423414
-80020.06,455,128.882414
-77103.79,520,130.053413
-80966.64,450,131.061414
-64012.27,520,132.230412
-71714.75,520,135.827505
-48931.54,520,137.002504
-82148.42,467,138.059505
-81341.17,450,139.076505
-80415.61,466,142.565501
-80182.73,476,143.634505
-80438.46,474,144.695504
-80168.91,468,145.750501
-80291.02,466,149.233502
-81764.36,451,150.352781
-73205.62,520,151.521781
-81536.81,455,152.545864
-80113.65,451,153.567881
-81206.52,450,157.032881
-80772.3,520,158.210881
-80673.94,455,159.230881
-81458.22,451,160.245881
-80166.57,457,163.706881
-80270.34,453,164.723881
-73400.5,520,165.898882
-80290.23,457,166.923881
-80136.22,451,170.437712
-80245.25,520,171.606993
-80257.99,454,172.624993
-80549.77,455,173.651994
-77562.0,520,174.848993
-80042.07,466,178.369021
-80189.17,457,179.389021
-81626.49,451,180.398021
-74684.93,520,181.595022
-80252.16,469,185.118022
-80739.18,455,186.14208
-82057.44,451,187.155081
-74951.99,520,188.349079
-68766.54,520,191.991079
-63488.32,520,193.168588
-81967.92,451,194.180587
-81467.81,455,195.219587
-80065.02,447,196.256586
-80100.84,455,199.747587
-71788.21,520,200.925904
-74158.68,520,202.110904
-80138.04,457,203.150903
-73555.41,520,206.784937
-80612.94,467,207.831937
-66935.99,520,209.039937
-80785.26,453,210.081937
-81718.89,451,213.536937
-80276.63,446,214.537937
-80722.53,455,215.572937
-81361.39,467,216.648937
-80445.23,447,220.147424
-80053.74,467,221.206424
-81112.0,451,222.236424
-80071.09,472,223.320425
-80248.57,445,224.331858
-66442.2,520,227.947806
-75114.48,520,229.142806
-80287.51,468,230.221806
-80112.86,475,231.300806
-65228.8,520,234.899808
-81105.71,467,235.951806
-80021.9,455,236.999808
-80474.75,450,238.015809
-80080.35,467,241.52183
-67140.47,520,242.699826
-80185.39,453,243.736829
-81658.26,455,244.768829
-70719.62,520,246.066828
-80652.04,468,249.579829
-70951.17,520,250.77483
-71059.89,520,251.957828
-73617.61,520,253.133828
-80421.06,467,256.639829
-71723.57,520,257.84483
-74177.99,520,259.02083
-80584.37,455,260.047826
-80455.05,474,263.583828
-66373.08,520,264.773828
-81550.94,455,265.797826
-81465.4,455,266.822826
-81981.68,467,270.323858
-75053.13,520,271.515858
-80900.89,411,272.441859
-71015.71,520,273.613859
-80228.34,474,277.118965
-80138.18,464,278.187965
-80530.31,455,279.218965
-76156.42,520,280.388965
-80592.65,467,281.438965
-75020.8,520,285.064965
-81324.4,450,286.077965
-80328.27,445,287.079002
-81211.36,455,288.10721
-80658.69,466,291.64121
-80133.76,457,292.68621
-73126.76,520,293.86221
-80397.76,474,294.926209
-80842.1,411,298.268281
-80098.14,457,299.303281
-80186.03,466,300.361498
-80066.79,468,301.417498
-80289.61,475,302.482498
-80054.71,468,305.988876
-81693.46,445,306.986273
-80223.12,445,307.988273
-80168.59,471,309.049273
-75821.62,520,312.654272
-80050.68,454,313.681273
-80111.49,464,314.727274
-80104.73,457,315.754539
-74357.75,520,316.92854
-80015.0,474,320.47789
-80326.65,447,321.495358
-81196.76,455,322.514358
-81801.32,467,323.564358
-81029.66,450,326.999584
-80195.11,468,328.053583
-80690.94,457,329.085584
-80267.47,447,330.101584
-82038.29,467,333.56526
-81473.05,450,334.575259
-80627.14,467,335.62226
-80094.16,447,336.623621
-80233.64,429,337.587926
-81699.52,467,341.059926
-70781.51,520,342.233408
-81860.64,455,343.248408
-80522.41,447,344.255409
-69987.58,520,347.859833
-80129.34,451,348.885833
-76790.85,520,350.066833
-69438.07,520,351.252462
-76370.38,520,354.869463
-80024.52,475,355.932463
-81192.37,455,356.949462
-80382.13,453,357.967466
-80320.73,467,359.018462
-80717.23,457,362.517494
-80300.55,455,363.703496
-80017.17,451,364.716496
-80039.79,447,365.718495
-80937.48,450,369.210494
-80688.2,455,370.228494
-80008.54,444,371.231494
-80501.76,467,372.277492
-80055.51,455,373.324493
-72024.44,520,376.959496
-70149.43,520,378.131495
-80189.75,445,379.133494
-80089.01,453,380.170495
-80620.81,519,383.848493
-80734.63,453,384.868494
-81228.58,450,385.883493
-80018.9,475,386.971493
-63918.15,520,390.621493
-80055.2,451,391.639492
-80711.99,453,392.656493
-80893.96,467,393.729493
-70279.42,520,394.925493
-80362.55,468,398.42451
-80958.98,455,399.44051
-74791.11,520,400.633511
-82055.25,467,401.720811
-73804.77,520,405.334811
-80529.42,450,406.343812
-72692.3,520,407.538202
-67593.83,520,408.736202
-59048.0,520,412.403202
-81955.26,467,413.460202
-80299.12,466,414.537203
-80006.6,467,415.606202
-80174.46,455,419.050202
-80522.96,457,420.080201
-72504.49,520,421.29412
-68627.8,520,422.485598
-80151.45,475,425.978977
-78024.32,520,427.156977
-75946.23,520,428.351977
-80873.85,467,429.418978
-80709.28,467,430.473416
-72425.28,520,434.094036
-66313.11,520,435.290757
-80651.5,455,436.330993
-80038.0,467,437.385994
-80019.16,380,440.679163
-80301.67,467,441.761163
-80112.3,453,442.803164
-80921.81,467,443.850456
-76597.47,520,447.473456
-81172.93,455,448.518456
-80866.92,450,449.554456
-81232.77,451,450.566777
-80281.42,453,451.599776
-80237.38,471,455.120127
-70744.78,520,456.319602
-71300.66,520,457.495603
-80037.45,469,458.54986
-80210.69,455,462.049196
-72546.96,520,463.242196
-80018.18,467,464.292196
-81376.24,451,465.305196
-80741.39,457,468.775212
-80032.59,469,469.865212
-80817.85,467,470.913213
-81845.09,451,471.940212
-66083.73,520,473.112436
-78563.02,520,476.74144
-73991.66,520,477.914439
-78324.73,520,479.082438
-80103.46,457,480.104439
-81428.98,455,483.593438
-77615.24,520,484.762468
-80071.01,451,485.774469
-80507.64,455,486.794468
-80787.73,467,490.299468
-81040.77,375,491.144469
-75862.63,520,492.322468
-80272.91,466,493.363469
-80504.73,411,494.287465
-80090.62,474,497.817468
