#{"t_start": 1715804234.9136808, "env_id": "binance-v0-1d"}
r,l,t
-62297.58,529,1.246022
-80216.76,371,2.119651
-64747.58,529,3.363523
-71212.46,529,4.610871
-65135.5,529,6.967705
-61221.37,529,8.207111
-63885.41,529,9.438493
-52095.39,529,10.682148
-65843.03,529,13.053555
-76947.6,529,14.291073
-63737.38,529,15.530072
-68845.81,529,17.865075
-62342.57,529,19.096071
-73747.89,529,20.327073
-77403.75,529,21.557075
-64431.65,529,23.876288
-62666.9,529,25.115286
-74528.78,529,26.345287
-66031.28,529,27.576286
-71356.46,529,29.906288
-80065.51,369,30.76229
-65431.83,529,31.998289
-75636.67,529,33.237289
-71716.8,529,35.571286
-54849.29,529,36.811288
-71104.88,529,38.057287
-65567.57,529,39.290288
-68586.66,529,41.610288
-60364.22,529,42.850286
-69043.22,529,44.095286
-75971.19,529,45.358184
-71719.74,529,47.68628
-64643.33,529,48.932785
-60002.83,529,50.170854
-72862.29,529,51.409854
-51575.19,529,53.752748
-44140.01,529,55.001398
-73761.71,529,56.256458
-69570.58,529,57.503488
-63320.93,529,59.849468
-65298.37,529,61.093727
-69511.55,529,62.343373
-66487.34,529,63.578373
-59777.63,529,65.905155
-63198.48,529,67.150583
-50527.9,529,68.398187
-62653.21,529,69.642186
-62006.22,529,71.992547
-68684.8,529,73.237514
-63750.27,529,74.491372
-58596.41,529,76.827372
-73895.62,529,78.072274
-62005.66,529,79.317049
-61023.77,529,80.56605
-62072.48,529,82.912623
-66426.42,529,84.154139
-63816.54,529,85.401795
-72528.75,529,86.654875
-56306.44,529,88.990041
-53603.96,529,90.23878
-75998.78,529,91.477249
-56766.83,529,92.723248
-55196.22,529,95.07269
-58647.91,529,96.325972
-69678.53,529,97.568904
-69998.8,529,98.816395
-66568.87,529,101.133081
-59796.27,529,102.382826
-61519.76,529,103.623669
-75440.86,529,104.860776
-62926.75,529,107.229166
-68898.99,529,108.464419
-64024.71,529,109.70185
-65360.48,529,110.944628
-63814.13,529,113.288666
-47930.65,529,114.540877
-66655.59,529,115.784998
-72227.81,529,117.029998
-66829.97,529,119.356573
-59209.24,529,120.596603
-64827.53,529,121.836835
-58903.78,529,124.18686
-64295.92,529,125.430201
-68606.1,529,126.68306
-69160.15,529,127.917305
-58424.56,529,130.694198
-72150.16,529,131.927536
-63981.44,529,133.167884
-69655.63,529,134.402884
-59242.5,529,136.779887
-58178.78,529,138.009885
-64867.05,529,139.246887
-67545.5,529,140.485886
-61362.09,529,142.825886
-70779.66,529,144.063884
-65471.77,529,145.295887
-59978.29,529,146.542886
-70064.06,529,148.875049
-65884.21,529,150.105047
-73589.72,529,151.339047
-61725.45,529,152.560048
-65769.92,529,154.883046
-62413.12,529,156.106047
-60032.64,529,157.340047
