#{"t_start": 1712358517.6821241, "env_id": "binance-v0-5m"}
r,l,t
-80041.04,1347,3.264453
-80121.21,1411,7.098903
-80139.59,1460,10.947054
-80009.06,1446,13.481615
-80047.43,1648,18.18971
-80052.08,1772,22.580862
-80020.42,2007,27.379949
-80001.44,2396,32.869372
-80011.81,2858,39.240296
-80034.89,4624,51.598641
-80011.43,24203,110.365602
-80000.43,25430,173.401741
-80015.44,25862,236.985406
-80090.55,25458,297.980029
-80024.82,25708,361.015236
-80009.14,25422,424.318762
-80018.75,25953,487.223183
-80024.91,25471,552.924951
-80008.28,25530,618.964825
-80049.98,25692,682.125548
-80003.18,25448,746.723923
-80003.19,26376,809.39992
-80016.99,25797,873.286704
-80001.0,26257,937.849025
-80017.08,26059,1002.087214
-80015.98,25927,1064.876021
-80003.27,26049,1128.504768
-80002.58,26045,1193.157264
-80014.12,25909,1256.109061
-80003.67,26087,1320.847589
-80009.3,25888,1386.510038
-80126.5,25500,1451.754166
-80010.92,25245,1524.303802
-80084.87,25362,1595.60375
-80094.7,25354,1681.329685
-80192.2,25150,1838.583236
-80020.29,25192,1996.229585
-80010.64,25289,2150.4001
-80017.24,25308,2306.73363
-80070.17,25296,2460.332732
-80060.68,25399,2614.820557
-80120.6,25719,2773.33217
-80026.02,26849,2937.010616
-80000.75,27582,3106.468385
-80010.47,27163,3275.213634
-80005.02,26518,3436.424691
-80017.41,25988,3592.09011
-80027.4,25971,3752.009916
-80019.16,26017,3914.711996
-80025.87,25840,4074.58288
-80008.88,26535,4235.812819
-80007.84,26459,4394.677629
-80003.2,28085,4533.258411
-80004.91,29504,4653.178085
-80061.97,28716,4797.042011
-80015.46,27862,4937.537004
-80087.33,27131,5089.175798
-80013.07,31769,5269.853344
-80003.39,34934,5458.582967
-80009.03,36533,5653.190072
-80014.41,37325,5858.146616
-80073.75,44261,6095.387671
-80013.34,41608,6320.955358
-80000.35,57667,6638.76734
-80119.19,71635,7038.263617
-80013.79,74326,7453.758317
-80079.49,73592,7860.591161
-80008.22,74728,8270.115591
-80015.07,75134,8698.002577
-80002.89,75424,9099.560205
-80001.95,75850,9293.089516
-80017.43,79337,9494.756643
-80037.59,85018,9711.333547
-80014.93,82681,9922.516926
-80017.03,88839,10148.712569
-80065.4,88234,10374.440081
-80010.91,80459,10575.192011
-80002.48,87230,10790.990047
-80093.08,86034,11004.107802
-80000.39,79545,11201.441265
-80027.32,76410,11389.458009
-80008.79,73402,11570.434788
-80001.19,80712,11771.542922
-80054.0,149285,12138.532794
-80007.8,152360,12512.877208
-80063.23,152411,12887.315337
-80000.81,152838,13262.90225
-80003.54,151847,13636.659718
-80002.44,152080,14013.061787
-80049.58,156119,14395.969677
-80010.77,157598,14788.865171
-80047.65,178800,15228.219105
-80046.65,179017,15669.078771
-80010.2,179306,16111.490831
-80013.62,178335,16552.813568
-80077.41,178461,16988.387184
-80028.63,176807,17419.058239
-80042.64,163230,17823.465383
-80009.27,177972,18258.304581
-80014.52,177992,18700.004262
-80081.43,178239,19138.139864
-80002.63,158825,19524.579813
-80002.85,177683,19959.384387
-80048.87,162151,20359.610161
-80044.29,177981,20798.128235
-80009.57,154776,21178.664178
-80094.24,154867,21555.084847
-80015.34,153664,21935.277081
-80008.52,155006,22323.804116
-80013.42,179405,22767.683387
-80112.65,178461,23203.87598
-80000.09,153189,23581.827326
-80011.27,151216,23947.7979
-80001.45,155236,24327.606191
-80005.49,157060,24715.885977
-80039.51,178596,25156.925529
-80149.05,179138,25595.267753
-80054.97,180485,26039.83747
-80083.1,180896,26481.628483
-80176.08,180851,26927.152221
-80004.42,176875,27360.250205
-80009.52,180253,27805.539882
-80014.99,180015,28245.361512
-80056.13,178044,28680.877886
-80007.98,182106,29131.750118
-80012.76,180923,29576.50235
-80021.27,181024,30018.021125
-80020.24,197918,30506.029534
-80005.34,216045,31038.135741
-80005.45,213491,31571.700312
-80026.28,198818,32065.056605
-80005.68,212721,32589.119128
-80036.09,204999,33094.963141
-80102.94,197819,33583.197673
-80113.98,179348,34022.658061
-80921.18,187348,34488.247045
-80008.52,207774,35002.976494
-80052.12,211882,35528.211575
-80013.09,238288,36117.911103
-80041.13,152363,36494.770531
-80011.36,198744,36988.757698
-80001.88,206608,37501.154904
-80066.52,181170,37944.692959
-80020.61,185498,38403.692306
-80007.51,226968,38968.883277
-80003.39,255188,39602.496931
-80023.08,225974,40160.747733
-80070.66,398892,41148.289001
-80296.89,382683,42102.802239
-80145.2,399966,43090.773634
-80183.38,423955,44144.551027
-80460.78,275939,44833.215307
-80126.31,178585,45277.140797
-80009.86,178238,45721.526514
-80036.1,247040,46337.517749
-80118.37,217603,46878.034747
-80004.86,238904,47483.656884
-80119.91,180784,47933.324544
-80127.34,188789,48407.674547
-80042.88,187873,48879.44734
-80046.03,187637,49346.029979
-80014.83,190946,49817.29961
-80014.48,190156,50286.258891
-80031.43,234983,50861.345892
-80207.79,545215,53581.688604
313049.81,591150,55303.820073
700736.13,591150,56770.11228
632326.07,591150,58226.403785
-80198.02,275937,58910.308991
-80000.35,214306,59454.393043
-80305.52,302010,60219.97918
-80002.35,204880,60737.972099
-80027.26,223590,61300.240668
384696.31,591150,63387.258772
64561.07,591150,66573.150208
-9660.04,591150,70263.750437
217771.63,591150,72748.522599
695347.24,591150,74254.993662
360501.24,591150,75739.761184
452703.29,591150,77220.102732
406490.31,591150,78694.8444
398772.56,591150,80182.427313
504839.47,591150,81666.56833
739698.53,591150,83144.610608
1841511.97,591150,84623.664332
